,HomeTeam,AwayTeam,WinningTeam
579,19,22,22
580,8,7,8
581,20,27,27
582,12,23,23
583,25,6,25
584,29,10,10
585,5,24,5
586,17,15,17
587,0,9,9
588,20,1,20
589,11,2,11
590,13,18,18
591,3,7,3
592,16,26,16
593,28,19,19
594,12,2,12
595,21,4,4
596,22,27,22
597,24,11,24
598,5,10,10
599,17,14,17
600,23,25,23
601,15,8,8
602,1,27,1
603,16,13,13
604,7,5,7
605,6,9,6
606,26,29,26
607,28,3,3
608,19,0,0
609,20,2,20
610,14,12,12
611,21,8,8
612,22,4,4
613,25,11,11
614,23,16,23
615,18,10,18
616,15,20,20
617,1,4,1
618,3,28,3
619,7,26,7
620,0,29,0
621,17,27,17
622,19,6,6
623,9,24,24
624,8,12,8
625,18,1,1
626,5,23,23
627,16,11,11
628,24,13,13
629,25,7,7
630,26,27,26
631,28,0,0
632,15,4,15
633,14,22,22
634,19,12,19
635,10,21,10
636,9,6,9
637,20,3,3
638,29,13,29
639,24,0,0
640,5,7,7
641,2,4,4
642,27,25,25
643,14,19,19
644,17,18,18
645,6,21,6
646,23,26,23
647,16,22,16
648,28,20,20
649,11,9,9
650,10,3,10
651,12,15,12
652,8,1,1
653,13,21,13
654,4,19,19
655,0,7,0
656,24,1,24
657,16,17,16
658,6,29,6
659,25,22,22
660,26,28,26
661,14,20,14
662,11,3,3
663,18,9,9
664,15,10,10
665,27,29,29
666,5,22,22
667,12,8,8
668,2,23,23
669,13,17,17
670,4,16,16
671,25,0,0
672,26,21,21
673,6,1,1
674,28,14,14
675,18,20,20
676,19,24,19
677,9,11,11
678,15,3,3
679,10,8,10
680,13,5,5
681,27,26,26
682,28,19,19
683,7,22,7
684,20,14,20
685,9,0,0
686,24,29,24
687,17,11,17
688,18,16,18
689,25,5,25
690,4,1,1
691,12,3,12
692,13,27,27
693,6,4,6
694,26,9,26
695,28,21,21
696,19,8,8
697,10,14,14
698,2,25,2
699,7,15,7
700,27,18,18
701,0,24,0
702,17,20,17
703,6,16,16
704,23,29,23
705,8,11,11
706,3,26,3
707,5,13,5
708,25,17,17
709,9,10,9
710,12,14,12
711,21,19,19
712,27,0,0
713,29,2,29
714,24,7,24
715,16,15,16
716,20,10,20
717,1,21,21
718,13,0,0
719,5,26,5
720,14,8,14
721,18,17,18
722,23,20,20
723,11,19,19
724,22,12,12
725,1,28,1
726,3,25,25
727,4,6,6
728,27,15,15
729,29,5,29
730,16,7,16
731,8,24,8
732,9,2,9
733,21,22,22
734,12,10,12
735,13,20,13
736,14,18,14
737,23,11,23
738,0,26,0
739,2,4,4
740,27,25,25
741,3,8,8
742,29,15,15
743,24,16,16
744,5,11,5
745,6,7,6
746,17,13,17
747,21,28,21
748,1,9,1
749,18,23,23
750,14,2,14
751,20,12,20
752,22,9,22
753,13,11,13
754,16,4,16
755,5,15,5
756,0,3,0
757,28,24,24
758,19,27,19
759,8,17,17
760,10,20,20
761,1,6,1
762,25,4,25
763,26,18,18
764,23,7,23
765,12,9,12
766,22,14,14
767,7,17,7
768,29,8,29
769,16,24,16
770,3,0,0
771,19,13,19
772,11,14,11
773,21,6,21
774,10,12,10
775,4,23,23
776,2,8,8
777,13,25,25
778,3,18,18
779,0,5,0
780,28,1,28
781,15,22,22
782,11,20,20
783,21,9,21
784,19,16,16
785,24,25,24
786,7,26,7
787,29,17,17
788,14,10,10
789,27,1,1
790,12,6,12
791,13,2,2
792,3,5,5
793,4,24,4
794,0,28,0
795,23,21,23
796,8,10,10
797,20,9,20
798,15,6,6
799,22,11,22
800,7,1,7
801,29,26,29
802,18,12,18
803,19,9,9
804,14,16,14
805,27,24,27
806,4,13,4
807,5,0,5
808,3,23,3
809,25,29,29
810,17,12,17
811,28,2,2
812,8,21,8
813,11,15,11
814,10,6,10
815,20,22,22
816,16,1,16
817,18,19,19
818,13,23,23
819,24,6,24
820,26,2,2
821,7,5,7
822,21,17,21
823,15,14,14
824,4,8,8
825,29,27,27
826,25,3,3
827,0,11,0
828,28,16,16
829,19,20,19
830,10,9,9
831,22,17,22
832,12,18,18
833,1,21,21
834,2,5,5
835,24,8,24
836,26,11,11
837,6,27,6
838,23,7,23
839,10,14,14
840,22,16,22
841,20,28,20
842,0,3,0
843,26,29,26
844,19,9,19
845,15,18,18
846,12,13,12
847,27,6,27
848,7,24,7
849,29,23,23
850,5,4,4
851,14,25,14
852,8,28,8
853,10,11,11
854,1,17,1
855,3,2,3
856,0,23,23
857,26,19,19
858,20,13,20
859,22,18,22
860,12,16,16
861,15,21,21
862,2,25,2
863,27,7,27
864,29,5,29
865,24,4,4
866,6,28,28
867,14,17,14
868,9,8,8
869,11,1,1
870,10,16,16
871,7,25,7
872,3,12,3
873,19,21,19
874,15,22,22
875,4,28,4
876,24,5,24
877,0,2,2
878,17,21,21
879,6,8,6
880,23,19,23
881,18,27,18
882,11,13,13
883,10,29,10
884,1,20,1
885,25,26,25
886,24,12,24
887,6,5,6
888,27,3,3
889,17,22,17
890,16,14,14
891,9,4,9
892,11,15,15
893,2,23,23
894,1,7,1
895,28,8,8
896,20,0,20
897,21,13,21
898,18,22,22
899,15,29,29
900,27,10,10
901,25,14,25
902,4,12,12
903,24,17,17
904,6,23,6
905,26,8,26
906,9,3,3
907,2,9,9
908,16,5,5
909,18,28,28
910,19,1,1
911,20,15,15
912,11,0,0
913,22,7,22
914,21,29,21
915,27,16,16
916,13,19,19
917,23,3,23
918,5,17,17
919,6,4,6
920,25,10,10
921,28,26,28
922,8,18,8
923,12,29,12
924,2,20,20
925,14,1,1
926,21,7,7
927,15,0,0
928,29,24,29
929,5,9,5
930,25,19,19
931,16,10,10
932,26,3,3
933,28,4,4
934,18,6,18
935,8,17,8
936,11,12,11
937,22,23,22
938,2,14,2
939,13,10,10
940,27,20,27
941,17,24,17
942,15,7,15
943,12,21,21
944,5,26,5
945,1,22,22
946,28,18,18
947,16,19,19
948,11,23,11
949,8,3,3
950,14,4,4
951,29,6,6
952,27,9,27
953,25,13,25
954,21,0,0
955,24,2,24
956,20,23,20
957,10,0,0
958,3,16,16
959,29,25,29
960,26,27,26
961,14,28,14
962,17,4,4
963,9,8,9
964,12,11,12
965,15,1,1
966,22,5,5
967,7,13,7
968,24,25,25
969,6,2,2
970,8,20,8
971,18,10,10
972,22,1,22
973,5,4,4
974,12,17,12
975,29,11,11
976,23,16,23
977,9,21,9
978,8,14,14
979,20,6,6
980,19,10,19
981,1,18,1
982,3,7,3
983,0,22,0
984,5,29,5
985,16,12,16
986,17,9,9
987,4,21,4
988,14,23,14
989,11,8,11
990,6,0,0
991,19,20,20
992,29,3,3
993,18,17,18
994,7,9,7
995,10,22,22
996,23,5,5
997,21,8,8
998,1,11,11
999,3,4,3
1000,6,16,6
1001,12,14,12
1002,10,17,10
1003,9,20,20
1004,29,7,7
1005,22,19,19
1006,4,0,0
1007,16,5,16
1008,21,18,21
1009,23,6,23
1010,11,3,11
1011,8,1,1
1012,20,12,12
1013,14,22,14
1014,9,10,9
1015,17,19,17
1016,5,21,5
1017,7,4,7
1018,18,29,18
1019,0,16,16
1020,12,1,1
1021,20,10,20
1022,3,22,3
1023,6,11,11
1024,8,23,8
1025,19,29,19
1026,0,17,0
1027,18,9,9
1028,16,4,16
1029,12,7,12
1030,21,14,14
1031,1,5,5
1032,11,19,11
